content,sentiment
根据Glog，公司没有计划将所有的生产转移到俄罗斯，虽然这是公司正在不断增长的地方。,0
该声明称，技术企业计划在一个不到10000平方米的区域开发，以便主办公司的电脑技术和电信业务，这个声明说。,0
据《每日邮报》报道，国际电子工业公司Elkichares已经从其塔利班机构中解除了数以十计的雇员，而此前公司收到了办公室职员的裁员。,1
随着新生产厂的兴起，公司将增加其能力以满足预期增长需求，并将提高原材料的使用，从而提高生产利润率。,2
根据2009-2012年公司的更新战略，巴斯特的净销售增长率在20%-40%的范围内，营业利润率为10%至20%的净销售额为10%-20%。,2
ASPOCOMP的增长正在积极追求其增长战略，通过越来越多地关注技术需求更高的HDI印刷电路板PCB。,2
2010年第二季度，Contera的净销售从去年同期的欧盟76M增至1.31亿欧元，而欧盟700万增加到了2010年的零税前利润，而欧盟7年的税,2
在2010年第三季度，净销售额增长了5.2%，至206.5亿欧元，营业利润增长了34.9%，至23.5欧元。,2
2007年，2007年，营业利润从欧盟8.7MN增长到欧元兑换期间的欧盟13.1M，占了总销售净额的7.7%。,2
2007年，经营利润总额达21.1美元，比2007年的18.6MN增加，占净销售额的9.7%。,2
TeliasoneraTlen说，该提议符合其在核心业务中所有权的策略，并将加强Eetisetecom的提供给客户提供给其提供的。,2
"""斯托尔.恩索,和诺斯克.斯科格,M---Ray,KYM-My-MymamineRisedCranseion,CFSB(CFSB)在4大亚洲林业",2
"""在芬兰的哈密尼航空航空公司(Haminatina)的7,200吨汽油购买协议于今年9月份平均普通指数为8.0美元,每月均订单8美元.""",2
芬兰人才报告其2004年的营业利润增长到20.5亿欧元，比2004年的净利润增加了2004年，而2004年的净利润增加了9.3亿欧元，而欧元的净,2
服装零售零售链链SEP+L+L+++的销售额增长8%，至155.2欧元，经营盈利增长31.1亿欧元，从2004欧洲17.1MN增长到2004年的,2
与去年同期的一年损失相比，净售额增长16%，达到欧元兑欧元74.8米，而运营利润增加到了欧元兑欧元0.7米。,2
在2006年，Foderse部门报告，其销售额从2006年的9.7%增长到了63.1MN，2006年的Eur67.5m，机器零售额增长了16.4,2
"""Neward称,股价收盘高于预期,诺基亚则在诺基亚宣布计划与3G手机生产3G,并且诺基亚四季度盈利报告分析师预期的轮胎销售后,而该公司股价上涨",2
印加公司的印加P合同制造服务PVT（PVT）有限公司，是芬兰印加PVP公司的子公司，计划到2007-2008年，它的收入增长了两倍。,2
其董事会将提议2010年每股股息的欧洲R0.12欧元，比2009年每股收入的欧洲R0.08欧元增加了2010年的2009年的120亿欧元。,2
生命树于2000年成立，其收入平均增长了40%，30岁以后的利润增长了40%。,2
（菲尔普）在斯特彼得堡一个科技园的建设投资三边协议将签署在俄罗斯经济论坛的日子，今天在赫尔辛基开幕的俄罗斯经济论坛上。,2
据MeganFoon的订户基础在2009年增长16.1%，至12月31日，2009年底，其用户数量的市场份额从2008年末的23%增长到2008,2
从生命保险的净收入翻了一倍，从3.2MN的6.8毫米，从非寿保险的净收入增长到2009年的1.0M，从2099年的1.5MN的收入增加到5.2亿,2
净净销售增至193.3欧元，从欧元179.9米增加到1.99欧元，预产利润上升34.2%，至欧元43.1美元（欧元1美元1.49美元）。,2
净利润增加18.5%，至167.8米，电信公司表示，2009年的收购量增加了12.2%，而2009年的收购额增幅是12.2%。,2
诺德拉亚集团在2010年的经营利润增长了18%，比去年同比增长了36.4亿欧元，总收入增长了3%，达到933亿欧元。,2
九个月期的营业利润率从13.6M提高到196009年，净销售额从欧元兑欧元39.4.7m增长，而2005年的相比，相比2005年的相应的年限增长,2
在9个月的营运利润从2007年的欧盟100万增长到了2007年的净销售额增长了30万2006年的营收利润增长了，而2007年的营销额则相比较有所,2
三个月的营收利润从欧元兑1.2米增加到了，而2005年的营业收益增长与相比的同期相比，2005年的营业收益从欧元/欧元/20.2米增长。,2
"""巴西的安全保险公司,提供者F-安全的巴西单位去年签署了1,500新客户，网站新闻网站新闻网ResterWeb引述了该部门的商业董事FlidlB",2
该公司称，2005年，该公司净利润增长11.4%，至8220万欧元，同期销售额为68650万欧元，同比增长13.8%。,2
"""立陶宛啤酒市场在1月份成立1441万升的公债，比上年增长0.8%，兰西斯基啤酒公司的成员国报告称，该公司的结果来自于其成员国。""",2
维京海盗线的货物收入增长5.4%，欧洲人21.46万吨，货物量增长了2.4%，到70，116艘货物单元。,2
由于卡斯皮利收购和总额的2686.21.259万万，这些房产投资组合的价值翻倍了一番，并且整个欧元区的收购价值增加了26.62.7亿。,2
2011年2月10日，芬兰媒体公司三亚马奥耶吉：Saa1Ajv说其2010年净利润几乎翻了一番，比2009年200年10.1米，并宣布提高了一个,2
赫尔辛基：伊利夫今天报道了2009年欧洲EPS1.13的ESP，比2008年欧盟EUR1.12的ESPS增长。,2
ASPOPLC股票交易所2月11日公布，在ASPO集团的ASPO集团部分ASPOC股票交易所2011年上午8点45分，已与海洋原料运输公司签订立,2
委员会收入增加22%，欧盟4.4MB，贷款额增加13.5%。,2
在一月，在收入乘客的RPK中测量的流量，上涨了3.2%，而且能力也在可用座位公里测量下，在问题上涨了12.2%，涨幅为3.2%。,2
2010年1-2010年9月，Fiskars的净利润比去年同期增长了14%14%，至6540万欧洲，净销售额为5.563亿欧元，从ERR4.87,2
生命保险公司净收入从14.0MNNER到16.5欧元，从非寿险到2009年的欧元，从15.2MNR增长到16.5欧元，从非寿险的净收入从16.0,2
