content,sentiment
根据Gread，公司没有计划将所有的产品都转移到俄罗斯，尽管这是公司正在增长的地方。,0
随着新生产厂的开发，公司将增加其产能，以满足需求预期的增加，提高原材料的使用，从而增加生产利润率。,2
"""在2010年的最后一季,Creema的净销售额从去年同期的70060万欧元增长到1,3100万欧元，而欧元兑换税前的税前利润则从欧元兑换来的税",2
在2010年第三季度，净销售增长了5.2%，达到了205.5亿吨，而营业利润增长了34.9%，达到23.5亿吨，营业利润增长了34.9%，达到2,2
在2007年的比赛中，2007年，营业利润从8.7MW增加到13.1MN，而净销售额的7.7%则是2007年的7.7%。,2
2007年，欧盟营业利润总计达21.1亿，比2007年欧元18.6亿增长，占9.7%的销售净额。,2
TeliasoneraTlan说，这项提议与其策略相一致，以增加其核心业务控股的所有权，并将加强Teliesterom的提供给其客户的信息。,2
恩索，诺拉斯克斯科尔斯道格，M-真实的，基恩基姆信贷苏斯第一波士顿（CFSB）提高了四个最大的北欧大组织的股票公平价值。,2
"""Fornancianiana码头7200吨汽油交货协议,在该国首付出的货币中,与Nestere油OYJ在9月份的平均普勒指数为每月8美元,这个",2
芬兰天才报告，其营业利润在2005年增至205年欧元205欧元，比2004年增加93亿欧元，而净销售额则从96.4MNU。,2
服装零售连锁连锁零售连锁超市L++++Deal的销售额增长了8%，至155.2万亿欧元，而2004年的营业利润从17.1万亿欧元增长到了31.1,2
一年前，净销售总额增长16%，达到欧元74.8米，而经营利润增长到了欧元0.7米，与欧元200.7米相比，在同期损失了欧元0.9米。,2
Finders分公司报告，在2006年的相应时期内，其销售增长9.7%，欧盟63.1MN，销售额从2006年的57.5MN，机器分公司的销售额从,2
"""赫尔辛克(AFX)--经销商称,该股收盘升,Nicoolona在宣布将与三浦合作,以制造3G手机的计划,而诺基亚轮胎则在第四季度获利公司收益报",2
印加公司的PVT公司，一家芬兰印加公司的公司，其子公司，将在2007-2008年度增加其收入。,2
2001年，欧盟董事会将提出欧盟每股的股份为每股的0.12欧元，比2009年的每股收益增加0.08。,2
生命树建立于2000年，其收入平均上升40%，30年代末，利润率为40%。,2
据2009年12月31日，Megofon的消费者基础预计，截至2009年底，2009年底，消费者基础上增长16.1%，至50.50万用户，截至2,2
从生命保险的净收入从EUR的3.2mn增至6.8锰，2009年从欧盟1.5mn5增加到2009年的1.5mn增加到5.2mn，从非生命保险的净收,2
净销售额从欧盟193.3M增至193.3米，而欧盟179.9M和欧盟前利润上涨了34.2%，至4.1米（EUR1.43.4）。,2
"""网络销售上升18.5%,至167.8米.TEXREEEE表示,2009年欧洲贸易总额20.4米或12.2%,而2009年收购的销售额则来自欧盟",2
Nordee集团在2010年的营业利润增长了18%，比去年增长18%，达到36.4亿欧元，总收入分别为933亿欧元，达到930亿欧元。,2
经营利益的九个月的营业周期从13.6个月的增长，而净利润的增长，而净销售额则从2005年的394.7米增加，相比2005年的增长。,2
